,fold,params,best_value
0,1,"{'learning_rate': 0.006219253410046696, 'num_leaves': 101, 'min_child_samples': 41, 'subsample': 0.8481072845716799, 'colsample_bytree': 0.7387652015046099, 'reg_alpha': 1.571122001121054e-07, 'reg_lambda': 2.749977885601767e-08, 'min_child_weight': 2.5471398237079383, 'min_split_gain': 4.3527490520078986e-07}",0.4573681783469942
1,2,"{'learning_rate': 0.049845011765989586, 'num_leaves': 122, 'min_child_samples': 150, 'subsample': 0.9604884155336614, 'colsample_bytree': 0.7915646875220471, 'reg_alpha': 0.3875693568377881, 'reg_lambda': 0.00228684913328795, 'min_child_weight': 0.14401276181979505, 'min_split_gain': 0.03649380584901457}",0.509708353524582
2,3,"{'learning_rate': 0.04568748905495037, 'num_leaves': 105, 'min_child_samples': 158, 'subsample': 0.8134825884098091, 'colsample_bytree': 0.8273411601320259, 'reg_alpha': 0.001846988833688433, 'reg_lambda': 6.320110282173572e-05, 'min_child_weight': 0.01840342725152348, 'min_split_gain': 0.0028294269525721105}",0.495988602235375
3,4,"{'learning_rate': 0.026495914918910374, 'num_leaves': 126, 'min_child_samples': 114, 'subsample': 0.8095567030360704, 'colsample_bytree': 0.8315213498331498, 'reg_alpha': 0.07204323729830119, 'reg_lambda': 2.3092605402212717e-07, 'min_child_weight': 0.23647807612724978, 'min_split_gain': 0.0005221737269749183}",0.5024353046017094
