,precision,recall,f1-score,support
0,0.9468210824864098,0.9556297709923665,0.9512050338359255,16768.0
1,0.8385105151456685,0.845772112484188,0.8421256600300344,10277.0
2,0.7928916191311979,0.8188821752265861,0.8056773426469496,6620.0
3,0.5171503957783641,0.3583180987202925,0.42332613390928725,547.0
4,0.3103448275862069,0.03982300884955752,0.07058823529411765,226.0
5,0.08,0.01639344262295082,0.027210884353741496,122.0
accuracy,0.8780092592592592,0.8780092592592592,0.8780092592592592,0.8780092592592592
macro avg,0.5809530733546412,0.5058031014826568,0.520022215011676,34560.0
weighted avg,0.8711050402620929,0.8780092592592592,0.8735169990777858,34560.0
