,ID_TRAMO,total_samples,min_diff,max_diff,mean_diff,median_diff,std_diff,significant_deviations,deviation_rate
280,281,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
281,282,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
282,283,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
283,284,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
284,285,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
285,286,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
286,287,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
287,288,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
288,289,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
289,290,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
290,291,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
291,292,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
292,293,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
293,294,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
294,295,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
295,296,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
296,297,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
297,298,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
298,299,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
299,300,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
300,301,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
301,302,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
302,303,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
303,304,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
304,305,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
