feature,mean,std,min,max,non_zero_pct
poi_school_count_100m,0.5942642219087917,0.7846426161906362,0.0,5.0,44.209371571853936
poi_school_count_200m,1.6422190879172542,1.3233164078689434,0.0,9.0,79.21955806299952
poi_school_count_500m,7.821658047328005,3.273967932096397,0.0,22.0,99.9529854254819
poi_university_count_100m,0.051716031969910675,0.3471364326123386,0.0,6.0,3.2910202162670426
poi_university_count_200m,0.1557749569033067,0.6772966912435839,0.0,7.0,8.917097633599749
poi_university_count_500m,0.7718225983388184,1.881115831121231,0.0,19.0,32.26766964425639
poi_hospital_count_100m,0.04967873374079298,0.2450743564827371,0.0,4.0,4.388026955022724
poi_hospital_count_200m,0.12944679517317034,0.42101912211351966,0.0,5.0,10.42156401817897
poi_hospital_count_500m,0.5514809590973202,0.9086415281558781,0.0,5.0,34.931828866948756
poi_clinic_count_100m,0.12897664942798934,0.39683214405860734,0.0,6.0,11.079768061432377
poi_clinic_count_200m,0.4236013164080865,0.7994285551919134,0.0,10.0,30.5594734367654
poi_clinic_count_500m,2.283184453847359,2.622737293953304,0.0,28.0,80.81805359661494
poi_restaurant_count_100m,1.9407616361071933,2.889427493056094,0.0,19.0,55.72794232878859
poi_restaurant_count_200m,7.093402288042626,9.110653934507503,0.0,61.0,82.43222065506974
poi_restaurant_count_500m,40.31734837799718,44.62946279418639,0.0,234.0,99.3888105312647
poi_shop_count_100m,4.871336781068798,6.102523451699317,0.0,56.0,76.41435511675286
poi_shop_count_200m,18.243848926500547,18.885694524899538,0.0,165.0,93.05751449616048
poi_shop_count_500m,105.86256072715875,86.79500517458912,0.0,656.0,99.67089797837329
poi_hotel_count_100m,0.23742360131640808,0.6142160296915458,0.0,7.0,16.972261401034324
poi_hotel_count_200m,0.8048895157498824,1.510040333635598,0.0,17.0,37.56464503996239
poi_hotel_count_500m,4.43613853627958,6.465771529779749,0.0,71.0,69.47186961291334
poi_museum_count_100m,0.03008932769158439,0.17713833747244828,0.0,2.0,2.899232095282871
poi_museum_count_200m,0.11628271430810218,0.3800623361174115,0.0,6.0,9.998432847516064
poi_museum_count_500m,0.6444131013947657,1.1250156433270053,0.0,15.0,38.677323303557436
poi_park_count_100m,0.9073812881993418,1.0469518406301195,0.0,7.0,56.824949067544274
poi_park_count_200m,2.3479078514339444,1.918070246858861,0.0,13.0,84.6732487070992
poi_park_count_500m,10.17426735621376,4.608004734852948,1.0,27.0,100.0
poi_stadium_count_100m,0.004701457451810061,0.06840582062888649,0.0,1.0,0.47014574518100605
poi_stadium_count_200m,0.013477511361855508,0.11530774164946334,0.0,1.0,1.3477511361855508
poi_stadium_count_500m,0.058611502899232094,0.2408258720680638,0.0,2.0,5.720106566368908
poi_all_count_100m,16.5668390534399,12.246074782252109,0.0,115.0,99.74925560257013
poi_all_count_200m,57.47453377213603,36.884028630396976,3.0,307.0,100.0
poi_all_count_500m,317.881366556966,175.97893421726752,29.0,1206.0,100.0
